Category,Course Type,District,Region,Local Course,AP/IB/PLTW/DCE/OLL,Standard,Course Level,College Relationship(s),Fullfills Grad Req
A - Computer Literacy,10004 - Computer Applications,MORA PUBLIC SCHOOL DISTRICT 0332-01,07E,7006 Computer Science,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,MORA PUBLIC SCHOOL DISTRICT 0332-01,07E,823 Computer 3,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,MORA PUBLIC SCHOOL DISTRICT 0332-01,07E,824 Computer 4,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,MORA PUBLIC SCHOOL DISTRICT 0332-01,07E,825 Computer 5,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,MORA PUBLIC SCHOOL DISTRICT 0332-01,07E,826 Computer 6,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,NEW LONDON-SPICER SCHOOL DISTRICT 0345-01,06E,1038 Computer Applications (coding),N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,NEW LONDON-SPICER SCHOOL DISTRICT 0345-01,06E,2038 Computer Applications (coding),N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,NEW YORK MILLS PUBLIC SCHOOL DIST. 0553-01,4,084 Computer Applications I,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,NORTH BRANCH PUBLIC SCHOOLS 0138-01,07E,1629 IS MicrosoftOFF,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,North St. Paul-Maplewood Oakdale 0622-01,11,11203 MS Office for College/Business,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,OGILVIE PUBLIC SCHOOL DISTRICT 0333-01,07E,058 Microsoft Office,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ORONO PUBLIC SCHOOL DISTRICT 0278-01,11,1203106015 COMPUTER APPS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ORONO PUBLIC SCHOOL DISTRICT 0278-01,11,1203107015 COMPUTER APS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ORONO PUBLIC SCHOOL DISTRICT 0278-01,11,1203108015 Computer App,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ORONO PUBLIC SCHOOL DISTRICT 0278-01,11,1303014010 COMPUTER APPLICATION COLLEGE,N/A,COMBINATION,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,OSAKIS PUBLIC SCHOOL DISTRICT 0213-01,4,020Col IC Col Intro Computers ITEC 1430,DCE,STATE,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,OSAKIS PUBLIC SCHOOL DISTRICT 0213-01,4,020Comp 7 Computers 7,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,OSAKIS PUBLIC SCHOOL DISTRICT 0213-01,4,020Comp 9 Computers 9,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,OSSEO PUBLIC SCHOOL DISTRICT 0279-01,11,102300 COMP APP OFFICE 1,N/A,STATE,ARTICULATED,HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,OSSEO PUBLIC SCHOOL DISTRICT 0279-01,11,102300-702-2 COMP APP OFFICE 1,N/A,STATE,ARTICULATED,HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,OSSEO PUBLIC SCHOOL DISTRICT 0279-01,11,102400 COMP APP OFF 2,N/A,STATE,ARTICULATED,HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,OWATONNA PUBLIC SCHOOL DISTRICT 0761-01,10,COMPA7 Computer Applications 7,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PARK RAPIDS PUBLIC SCHOOL DISTRICT 0309-01,2,000857 INTRO MICROSOFT OFFICE APPLICATIONS,DCE,STATE,DUAL,UNIVERSITY OF MINNESOTA-CROOKSTON,Yes
A - Computer Literacy,10004 - Computer Applications,PAYNESVILLE PUBLIC SCHOOL DISTRICT 0741-01,07W,271 Comp App I/Comp App AG I,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PELICAN RAPIDS PUBLIC SCHOOL DIST. 0548-01,4,4000916 Computer 9,N/A,COMBINATION,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,PEQUOT LAKES PUBLIC SCHOOLS 0186-01,5,2007CA 7TH GR COMPUTER APPLICATIONS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PEQUOT LAKES PUBLIC SCHOOLS 0186-01,5,2008CAI 8TH GRADE COMPUTER APPS I,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PERHAM-DENT PUBLIC SCHOOL DISTRICT 0549-01,4,000710 Computer Applications I,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PERHAM-DENT PUBLIC SCHOOL DISTRICT 0549-01,4,000714 Computer Applications II,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PIERZ PUBLIC SCHOOL DISTRICT 0484-01,5,0167SX Computer Applications,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PIERZ PUBLIC SCHOOL DISTRICT 0484-01,5,6041S1 Computer Applications,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PIERZ PUBLIC SCHOOL DISTRICT 0484-01,5,6041S2 Computer Applications,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PILLAGER PUBLIC SCHOOL DISTRICT 0116-01,5,037 INTRO TO COMP APPS-PSEO,DCE,COMBINATION,DUAL,CENTRAL LAKES COLG-BRAINERD/STAPLES,No
A - Computer Literacy,10004 - Computer Applications,PILLAGER PUBLIC SCHOOL DISTRICT 0116-01,5,038 INTRO TO COMP APPS-PSEO,DCE,COMBINATION,DUAL,OAK HILLS CHRISTIAN COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,PILLAGER PUBLIC SCHOOL DISTRICT 0116-01,5,181 COMPUTERS IN INDUSTRY-PSEO,DCE,COMBINATION,DUAL,CENTRAL LAKES COLG-BRAINERD/STAPLES,No
A - Computer Literacy,10004 - Computer Applications,PILLAGER PUBLIC SCHOOL DISTRICT 0116-01,5,192 WINDOWS SERVER ADMIN I-PSEO,DCE,COMBINATION,DUAL,CENTRAL LAKES COLG-BRAINERD/STAPLES,No
A - Computer Literacy,10004 - Computer Applications,PINE CITY PUBLIC SCHOOL DISTRICT 0578-01,07E,1123 Computer Apps 1,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,PINE CITY PUBLIC SCHOOL DISTRICT 0578-01,07E,1130 IndComApp,N/A,STATE,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,PLAINVIEW-ELGIN-MILLVILLE 2899-01,10,014 COMPUTER APPLICATIONS,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,PRIOR LAKE-SAVAGE AREA SCHOOLS 0719-01,11,000231 Computer Applications,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,RED LAKE COUNTY CENTRAL PUBLIC SCH 2906-01,1,002502 Word Processing 10,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,RED LAKE PUBLIC SCHOOL DISTRICT 0038-01,2,0437 LIFE SKILLS COMPUTERS,N/A,STATE,BASIC,,Yes
A - Computer Literacy,10004 - Computer Applications,RED LAKE PUBLIC SCHOOL DISTRICT 0038-01,2,1146 Computer Application,N/A,NATIONAL,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,RICHFIELD PUBLIC SCHOOL DISTRICT 0280-01,11,1205 INTRO APPS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,RICHFIELD PUBLIC SCHOOL DISTRICT 0280-01,11,2205 INTRO TO APPS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROCHESTER PUBLIC SCHOOL DISTRICT 0535-01,10,30506RCCC Computers/College & Careers,N/A,COMBINATION,ARTICULATED,MINNESOTA STATE COLLEGE-SE TECH,Yes
A - Computer Literacy,10004 - Computer Applications,ROCHESTER PUBLIC SCHOOL DISTRICT 0535-01,10,31006RCCC Computers/College & Careers,N/A,COMBINATION,ARTICULATED,MINNESOTA STATE COLLEGE-SE TECH,Yes
A - Computer Literacy,10004 - Computer Applications,ROCHESTER PUBLIC SCHOOL DISTRICT 0535-01,10,31506RCCC Computers/College & Careers,N/A,COMBINATION,ARTICULATED,MINNESOTA STATE COLLEGE-SE TECH,Yes
A - Computer Literacy,10004 - Computer Applications,ROCHESTER PUBLIC SCHOOL DISTRICT 0535-01,10,34206RCCC Comp for College & Careers,N/A,COMBINATION,ARTICULATED,MINNESOTA STATE COLLEGE-SE TECH,Yes
A - Computer Literacy,10004 - Computer Applications,ROSEAU PUBLIC SCHOOL DISTRICT 0682-01,1,400COAPON COMPUTER APPLICATIONS ONLINE,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROSEAU PUBLIC SCHOOL DISTRICT 0682-01,1,400COMAPP COMPUTER APPLICATONS,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROSEMOUNT-APPLE VALLEY-EAGAN 0196-01,11,0785 Mobile Apps Development A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROSEMOUNT-APPLE VALLEY-EAGAN 0196-01,11,0786 Mobile Apps Development B,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROSEMOUNT-APPLE VALLEY-EAGAN 0196-01,11,0787 Mobile Apps Development C,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROSEVILLE PUBLIC SCHOOL DISTRICT 0623-01,11,6031 Microsoft Office,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROSEVILLE PUBLIC SCHOOL DISTRICT 0623-01,11,8112 Computer Science 8,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROTHSAY PUBLIC SCHOOL DISTRICT 0850-01,4,006 Computer 10,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROTHSAY PUBLIC SCHOOL DISTRICT 0850-01,4,007 Computer 7,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ROTHSAY PUBLIC SCHOOL DISTRICT 0850-01,4,008 Computer 8,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,RUSHFORD-PETERSON PUBLIC SCHOOLS 0239-01,10,165 Computer Apps 7,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,Red Wing Public School District 0256-01,10,0402 COMPUTER APPLICATIONS,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,Red Wing Public School District 0256-01,10,0403 ADV COMP APPLICATIONS,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SARTELL-ST. STEPHEN SCHOOL DISTRICT 0748-01,07W,020217 VIDEO GAME DESIGN,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SARTELL-ST. STEPHEN SCHOOL DISTRICT 0748-01,07W,020218 WEBPAGE DESIGN,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SEBEKA PUBLIC SCHOOL DISTRICT 0820-01,5,0101 Computer App.,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SHAKOPEE PUBLIC SCHOOL DISTRICT 0720-01,11,80100 APP Creations,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SIBLEY EAST SCHOOL DISTRICT 2310-01,9,911 Computer Literacy (9) S1,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SIBLEY EAST SCHOOL DISTRICT 2310-01,9,912 Computer Literacy (9) S2,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,106 5th Tech - KT,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,121 4th Tech - LL,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,136 4th Tech - SK,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,139 5th Tech - SK,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,SPECTRUM HIGH SCHOOL 4160-07,07W,217 21st Century Skills,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. CLOUD PUBLIC SCHOOL DISTRICT 0742-01,07W,057571375 Digital Literacy/Comp. App.,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. CLOUD PUBLIC SCHOOL DISTRICT 0742-01,07W,065652922 Computer Applications,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. CLOUD PUBLIC SCHOOL DISTRICT 0742-01,07W,072725131 Computer Applications A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. CLOUD PUBLIC SCHOOL DISTRICT 0742-01,07W,072725231 Computer Applications B,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. CLOUD PUBLIC SCHOOL DISTRICT 0742-01,07W,072725331 Computer Applications C,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. LOUIS COUNTY SCHOOL DISTRICT 2142-01,3,V8507 ADV COMPUTER,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. LOUIS COUNTY SCHOOL DISTRICT 2142-01,3,V8508 ADV COMPUTER,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. MICHAEL-ALBERTVILLE SCHOOL DIST 0885-01,07W,1415 Comp App I,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. MICHAEL-ALBERTVILLE SCHOOL DIST 0885-01,07W,1502 Micrsoft Excel,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. MICHAEL-ALBERTVILLE SCHOOL DIST 0885-01,07W,1505 Comp App II,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. PAUL PUBLIC SCHOOL DISTRICT 0625-01,11,T305221 Computer Application,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. PAUL PUBLIC SCHOOL DISTRICT 0625-01,11,T305223 Computer Application,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ST. PAUL PUBLIC SCHOOL DISTRICT 0625-01,11,T305227 Computer Application,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,STAPLES-MOTLEY SCHOOL DISTRICT 2170-01,5,040CISCOM CIS INTRO TO COMPUTERS,DCE,COMBINATION,DUAL,CENTRAL LAKES COLG-BRAINERD/STAPLES,Yes
A - Computer Literacy,10004 - Computer Applications,Southwest Metro Intermediate 288 0288-06,11,008050 COMPUTER APPLICATIONS,N/A,STATE,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,St. Francis Area Schools 0015-01,11,5331 FUND PROG/SOFTWARE DEV,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,THIEF RIVER FALLS SCHOOL DISTRICT 0564-01,1,281 Tech 101,N/A,LOCAL,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,TRACY AREA PUBLIC SCHOOL DISTRICT 2904-01,8,237 Computer 7,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,TRACY AREA PUBLIC SCHOOL DISTRICT 2904-01,8,238 Computer 8,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,TRI-CITY UNITED SCHOOL DISTRICT 2905-01,9,124 Ind Study Comp Apps B,N/A,NONE_ADDRESSED,ARTICULATED,SOUTH CENTRAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,TRI-CITY UNITED SCHOOL DISTRICT 2905-01,9,243 Comp. Apps A-.5,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,TRI-CITY UNITED SCHOOL DISTRICT 2905-01,9,244 Computer Apps A,N/A,NONE_ADDRESSED,ARTICULATED,SOUTH CENTRAL COLLEGE,Yes
A - Computer Literacy,10004 - Computer Applications,TRI-CITY UNITED SCHOOL DISTRICT 2905-01,9,248 Ind Study Computer Apps A,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,UNDERWOOD PUBLIC SCHOOL DISTRICT 0550-01,4,1109 Computer App 10/12,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,UNITED SOUTH CENTRAL SCHOOL DIST. 2134-01,9,121 Comp. Applic.II,N/A,COMBINATION,ARTICULATED,RIVERLAND COMMUNITY COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,VERNDALE PUBLIC SCHOOL DISTRICT 0818-01,5,051 Microsoft Office 9 (Qtr),N/A,COMBINATION,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,VIRGINIA PUBLIC SCHOOL DISTRICT 0706-01,3,2300 COMPUTER 7,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WADENA-DEER CREEK SCHOOL DISTRICT 2155-01,5,027 Computer App,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,052 Computers 10,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WARROAD PUBLIC SCHOOL DISTRICT 0690-01,1,Comp7 Computer 7,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WARROAD PUBLIC SCHOOL DISTRICT 0690-01,1,CompApsA Computer Applications A,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WARROAD PUBLIC SCHOOL DISTRICT 0690-01,1,CompApsB Computer Applications B,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH 0435-01,2,030028 Computer Applications I,N/A,LOCAL,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH 0435-01,2,050020 Computer Apps 8,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,050702 TROJAN LOCKER ROOM,N/A,NATIONAL,ARTICULATED,ANOKA-HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,ANOKA-RAMSEY CC-CAMBRIDGE/COONRAPID,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,NORMANDALE COMMUNITY COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,NORTH HENNEPIN COMMUNITY COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,050705 COMPUTER TECHNOLOGY ESSENTIALS,N/A,NATIONAL,ARTICULATED,ANOKA-HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,ANOKA-RAMSEY CC-CAMBRIDGE/COONRAPID,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,HENNEPIN TECHNICAL COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,NORMANDALE COMMUNITY COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WAYZATA PUBLIC SCHOOL DISTRICT 0284-01,11,,,,,NORTH HENNEPIN COMMUNITY COLLEGE,No
A - Computer Literacy,10004 - Computer Applications,WESTBROOK-WALNUT GROVE SCHOOLS 2898-01,8,024 BU COMPUT APPLICATION,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WILLMAR PUBLIC SCHOOL DISTRICT 0347-01,06E,2030 Computer & iPad Applications 1,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WILLMAR PUBLIC SCHOOL DISTRICT 0347-01,06E,2035 Computer & iPad Applications 2,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WINONA AREA PUBLIC SCHOOL DISTRICT 0861-01,10,"651H Documents, Spreadsheets & Pres",N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,2004 INTRO COMPUTER APP,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,,OLL,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,2004SS INTRO TO COMPUTER APP.,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,Watertown-Mayer Public School Dist 0111-01,11,000596 Technology 5,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,Watertown-Mayer Public School Dist 0111-01,11,000938 Computer App I,N/A,COMBINATION,GENERAL,,Yes
A - Computer Literacy,10004 - Computer Applications,Watertown-Mayer Public School Dist 0111-01,11,001988 Technology 6,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,Watertown-Mayer Public School Dist 0111-01,11,001989 Technology 7,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,Watertown-Mayer Public School Dist 0111-01,11,1990 Technology 8,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ZUMBRO EDUCATION DISTRICT 6012-61,10,210 Technology A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ZUMBRO EDUCATION DISTRICT 6012-61,10,211 Technology 0.25,N/A,STATE,GENERAL,,No
A - Computer Literacy,10004 - Computer Applications,ZUMBRO EDUCATION DISTRICT 6012-61,10,212 IS Technology,N/A,STATE,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,ADRIAN PUBLIC SCHOOL DISTRICT 0511-01,8,510a IntmBusApp 10a,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,ADRIAN PUBLIC SCHOOL DISTRICT 0511-01,8,510b IntmBusApp 10b,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,ALEXANDRIA PUBLIC SCHOOL DISTRICT 0206-01,4,0808 Microsoft Office Applic's,N/A,COMBINATION,ADVANCED,,No
A - Computer Literacy,10005 - Business Computer Applications,ANNANDALE PUBLIC SCHOOL DISTRICT 0876-01,07W,019 Computer Ess 2,N/A,NONE_ADDRESSED,ARTICULATED,SAINT CLOUD TECHNICAL COLLEGE AND COMMUN,No
A - Computer Literacy,10005 - Business Computer Applications,ANNANDALE PUBLIC SCHOOL DISTRICT 0876-01,07W,020 Multimedia,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 0011-01,11,78446 CompSkillsBiomdEngrg,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 0011-01,11,78473 CompSkills CEMS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,BARNUM PUBLIC SCHOOL DISTRICT 0091-01,3,2505 BUSN & CAREER EXP,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,BERTHA-HEWITT PUBLIC SCHOOL DIST. 0786-01,5,356 Computer Applic,N/A,COMBINATION,ARTICULATED,CENTRAL LAKES COLG-BRAINERD/STAPLES,No
A - Computer Literacy,10005 - Business Computer Applications,BIG LAKE PUBLIC SCHOOL DISTRICT 0727-01,07W,6230 Computer Applications,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,BLUE EARTH AREA PUBLIC SCHOOL 2860-01,9,026 Prac Soft Applications,N/A,NATIONAL,GENERAL,,Yes
A - Computer Literacy,10005 - Business Computer Applications,BLUESKY CHARTER SCHOOL 4082-07,11,CTE0965 Introduction to Microsoft Applications,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,BRANDON-EVANSVILLE PUBLIC SCHOOLS 2908-01,4,BUS12 MICROSOFT OFFICE,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,BROWERVILLE PUBLIC SCHOOL DISTRICT 0787-01,5,089 Am. Hist. 8 quart.,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,BUFFALO-HANOVER-MONTROSE PUBLIC SCH 0877-01,07W,3011 CIS Business,DCE,LOCAL,DUAL,SOUTHWEST MINNESOTA STATE UNIVERSITY,No
A - Computer Literacy,10005 - Business Computer Applications,BUFFALO-HANOVER-MONTROSE PUBLIC SCH 0877-01,07W,3018 Computer Apps: Word/Publisher,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,CLEVELAND PUBLIC SCHOOL DISTRICT 0391-01,9,391-142 BUSINESS TECHNOLOGY 9,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,CLEVELAND PUBLIC SCHOOL DISTRICT 0391-01,,391-142B BUSINESS TECHNOLOGY 9,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,COMFREY PUBLIC SCHOOL DISTRICT 0081-01,9,011 Computer Apps,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,DILWORTH-GLYNDON-FELTON 2164-01,4,168 Computer & Business Comm.,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10005 - Business Computer Applications,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT 0272-01,11,10005G11 Small Business Development,N/A,NONE_ADDRESSED,GENERAL,,No
